code,geo,pop,house,under_house,under_house_single,under_pop,under_house_ratio,under_house_single_ratio
11010,종로구,"61,638","2,427","1,189","140,959","4,936",3.9,49
11020,중구,"51,239","1,771","1,055","115,128","3,156",3.5,59.6
11030,용산구,"90,336","5,662","2,914","208,852","10,751",6.3,51.5
11040,성동구,"114,738","6,609","3,500","279,709","12,207",5.8,53
11050,광진구,"147,673","15,630","8,719","342,774","28,624",10.6,55.8
11060,동대문구,"146,763","9,978","5,949","343,303","16,817",6.8,59.6
11070,중랑구,"157,568","17,839","9,692","392,332","32,624",11.3,54.3
11080,성북구,"174,343","10,400","5,630","434,070","19,229",6,54.1
11090,강북구,"125,712","12,000","6,355","310,466","22,228",9.5,53
11100,도봉구,"125,004","7,120","3,657","331,411","13,687",5.7,51.4
11110,노원구,"204,890","4,483","2,174","546,231","8,898",2.2,48.5
11120,은평구,"179,794","14,059","6,558","464,416","27,928",7.8,46.6
11130,서대문구,"121,043","6,708","3,347","288,648","13,018",5.5,49.9
11140,마포구,"155,031","8,466","4,436","364,761","15,680",5.5,52.4
11150,양천구,"163,862","8,684","4,507","453,800","16,333",5.3,51.9
11160,강서구,"217,651","9,388","4,761","554,037","17,810",4.3,50.7
11170,구로구,"156,543","4,045","1,882","401,633","7,947",2.6,46.5
11180,금천구,"93,461","5,768","3,026","222,424","10,974",6.2,52.5
11190,영등포구,"147,791","6,269","3,299","352,034","11,507",4.2,52.6
11200,동작구,"161,049","11,128","6,166","383,833","20,045",6.9,55.4
11210,관악구,"228,719","19,121","11,317","485,055","32,418",8.4,59.2
11220,서초구,"154,082","7,005","3,247","407,111","13,888",4.5,46.4
11230,강남구,"211,387","7,893","3,831","526,524","15,185",3.7,48.5
11240,송파구,"230,986","12,869","5,853","614,959","26,126",5.6,45.5
11250,강동구,"164,130","13,145","6,653","432,463","24,903",8,50.6
21010,중구,"20,644",152,62,"43,028",299,0.7,40.8
21020,서구,"46,855",290,131,"107,127",688,0.6,45.2
21030,동구,"37,873",296,126,"85,783",623,0.8,42.6
21040,영도구,"52,456",185,64,"122,232",447,0.4,34.6
21050,부산진구,"153,571",453,282,"365,712",808,0.3,62.3
21060,동래구,"99,035",222,70,"256,542",507,0.2,31.5
21070,남구,"109,361",190,103,"271,585",327,0.2,54.2
21080,북구,"111,121",654,322,"293,135","1,305",0.6,49.2
21090,해운대구,"153,280",224,101,"397,149",418,0.1,45.1
21100,사하구,"127,149",490,270,"322,486",857,0.4,55.1
21110,금정구,"97,978",247,162,"236,207",418,0.3,65.6
21120,강서구,"32,763",20,12,"84,256",34,0.1,60
21130,연제구,"78,111",137,93,"198,566",201,0.2,67.9
21140,수영구,"70,074",59,36,"168,686",114,0.1,61
21150,사상구,"91,726",51,35,"228,540",83,0.1,68.6
21310,기장군,"53,986",5,,"141,910",15,0,0
22010,중구,"33,472",33,15,"74,578",77,0.1,45.5
22020,동구,"131,415",234,153,"330,669",354,0.2,65.4
22030,서구,"81,010",278,134,"196,314",507,0.3,48.2
22040,남구,"69,476",221,144,"154,010",318,0.3,65.2
22050,북구,"166,563",150,70,"431,162",279,0.1,46.7
22060,수성구,"157,915",286,140,"427,033",571,0.2,49
22070,달서구,"222,244",173,70,"583,977",336,0.1,40.5
22310,달성군,"66,453",37,11,"177,501",98,0.1,29.7
23010,중구,"43,255",393,174,"104,695",876,0.9,44.3
23020,동구,"26,955",274,125,"68,858",530,1,45.6
23030,미추홀구,"156,791","3,491","1,892","388,966","6,279",2.2,54.2
23040,연수구,"107,382","2,030","1,278","300,630","3,277",1.9,63
