geo,code,real_price,pop,house,under_house,under_house_single,under_pop,under_house_ratio,under_house_single_ratio,under_house_ratio_rank,old_pop,기초생활수급_노인비율,old_ratio,single_parent_house,한부모가구비율,single_parent_house_ratio,env_satisfy,low_income_house,기초생활수급_가구비율,low_income_house_ratio
종로구,11010,"2,299","140,959","61,638","2,427","1,189","4,936",3.9,49,21,"1,302",0.923672841,0.92,391,0.634348941,0.63,5.83,"3,109",5.043966384,5.04
중구,11020,"2,718","115,128","51,239","1,771","1,055","3,156",3.5,59.6,23,"1,416",1.229935376,1.23,371,0.724057847,0.72,5.94,"3,360",6.557505025,6.56
용산구,11030,"3,627","208,852","90,336","5,662","2,914","10,751",6.3,51.5,9,"1,758",0.841744393,0.84,668,0.739461566,0.74,6.53,"4,910",5.435263904,5.44
성동구,11040,"3,471","279,709","114,738","6,609","3,500","12,207",5.8,53,12,"1,670",0.597049076,0.6,882,0.768707839,0.77,6.02,"5,583",4.865868326,4.87
광진구,11050,"2,876","342,774","147,673","15,630","8,719","28,624",10.6,55.8,2,"1,922",0.560719308,0.56,"1,335",0.904024432,0.9,6.13,"6,102",4.132102686,4.13
동대문구,11060,"2,257","343,303","146,763","9,978","5,949","16,817",6.8,59.6,8,"2,043",0.595101121,0.6,"1,293",0.881012244,0.88,6,"9,280",6.323119587,6.32
중랑구,11070,"1,738","392,332","157,568","17,839","9,692","32,624",11.3,54.3,1,"4,005",1.020819102,1.02,"2,425",1.539018075,1.54,5.98,"11,818",7.500253859,7.5
성북구,11080,"2,115","434,070","174,343","10,400","5,630","19,229",6,54.1,11,"2,914",0.671320294,0.67,"1,608",0.922319795,0.92,6.04,"8,824",5.061287233,5.06
강북구,11090,"1,679","310,466","125,712","12,000","6,355","22,228",9.5,53,3,"3,142",1.012027082,1.01,"2,161",1.719008527,1.72,6.19,"11,125",8.84959272,8.85
도봉구,11100,"1,598","331,411","125,004","7,120","3,657","13,687",5.7,51.4,13,"2,275",0.686458808,0.69,"1,829",1.463153179,1.46,6.32,"7,666",6.132603757,6.13
노원구,11110,"1,869","546,231","204,890","4,483","2,174","8,898",2.2,48.5,25,"4,903",0.897605592,0.9,"2,783",1.358289814,1.36,6.05,"17,022",8.307872517,8.31
은평구,11120,"1,836","464,416","179,794","14,059","6,558","27,928",7.8,46.6,6,"4,617",0.994151795,0.99,"2,260",1.256994115,1.26,6.28,"11,876",6.605337219,6.61
서대문구,11130,"2,326","288,648","121,043","6,708","3,347","13,018",5.5,49.9,15,"2,033",0.704318062,0.7,"1,102",0.910420264,0.91,6.02,"6,014",4.968482275,4.97
마포구,11140,"3,065","364,761","155,031","8,466","4,436","15,680",5.5,52.4,15,"1,956",0.536241539,0.54,981,0.63277667,0.63,6.43,"5,550",3.579929175,3.58
양천구,11150,"2,200","453,800","163,862","8,684","4,507","16,333",5.3,51.9,17,"3,072",0.676950198,0.68,"1,606",0.980093005,0.98,6.03,"8,175",4.98895412,4.99
강서구,11160,"2,158","554,037","217,651","9,388","4,761","17,810",4.3,50.7,19,"5,115",0.923223539,0.92,"2,356",1.082466885,1.08,6.34,"15,432",7.090249987,7.09
구로구,11170,"1,764","401,633","156,543","4,045","1,882","7,947",2.6,46.5,24,"1,698",0.422774025,0.42,"1,353",0.864299266,0.86,6.39,"6,107",3.901164536,3.9
금천구,11180,"1,711","222,424","93,461","5,768","3,026","10,974",6.2,52.5,10,"2,170",0.975614142,0.98,"1,338",1.431613186,1.43,6.14,"6,737",7.208354287,7.21
영등포구,11190,"2,692","352,034","147,791","6,269","3,299","11,507",4.2,52.6,20,"2,214",0.628916525,0.63,661,0.447253216,0.45,6.15,"6,394",4.32637982,4.33
동작구,11200,"2,898","383,833","161,049","11,128","6,166","20,045",6.9,55.4,7,"2,201",0.573426464,0.57,"1,065",0.661289421,0.66,6.34,"6,375",3.958422592,3.96
관악구,11210,"2,027","485,055","228,719","19,121","11,317","32,418",8.4,59.2,4,"3,061",0.631062457,0.63,"1,573",0.687743476,0.69,6.18,"10,371",4.534384988,4.53
서초구,11220,"4,078","407,111","154,082","7,005","3,247","13,888",4.5,46.4,18,811,0.19920857,0.2,597,0.38745603,0.39,6.52,"3,574",2.319544139,2.32
강남구,11230,"5,206","526,524","211,387","7,893","3,831","15,185",3.7,48.5,22,"1,840",0.349461753,0.35,"1,058",0.500503815,0.5,6.53,"7,208",3.409859641,3.41
송파구,11240,"3,619","614,959","230,986","12,869","5,853","26,126",5.6,45.5,14,"2,312",0.375960023,0.38,"1,774",0.768011914,0.77,6.63,"7,680",3.324876832,3.32
강동구,11250,"2,424","432,463","164,130","13,145","6,653","24,903",8,50.6,5,"2,304",0.53276234,0.53,"1,354",0.824955828,0.82,6.37,"6,986",4.256382136,4.26
